episode,total_reward,renewable_ratio,total_cost,blackout_energy,epsilon,loss_mean,eval_reward
385,7.7367,0.7345,13.762,0.0,0.1452,0.923304,
386,6.772,0.7108,13.0899,1.1131,0.1444,0.804748,
387,8.935,0.7136,14.3209,0.0,0.1437,0.852377,
388,-53.8139,0.6732,12.1491,12.2135,0.143,0.927387,
389,-100.8418,0.7231,5.9744,24.4994,0.1423,0.940726,
390,-57.9567,0.6949,11.9982,13.8969,0.1416,0.798917,
391,-53.3078,0.6348,12.554,11.939,0.1409,0.89294,
392,-8.6597,0.7446,10.8697,3.7734,0.1402,0.903699,
393,-20.7898,0.706,13.7027,4.9242,0.1395,0.892177,
394,-4.8557,0.7237,13.4233,2.2538,0.1388,0.814974,
395,7.311,0.7366,13.648,0.0,0.1381,0.93433,
396,5.305,0.7374,13.1473,0.3472,0.1374,0.933568,
397,7.7989,0.7378,13.3861,0.0,0.1367,0.927838,
398,-34.1309,0.7525,10.1193,10.3981,0.136,0.871056,
399,10.1279,0.7361,13.5032,0.0,0.1353,0.861091,
400,-8.9059,0.7154,13.2382,2.7615,0.1347,0.795176,8.8621
401,-46.49,0.6938,10.9339,10.8697,0.134,0.868028,
402,-5.9968,0.7089,13.887,3.4015,0.1333,0.694222,
403,-42.1353,0.7095,11.4378,10.5447,0.1326,0.875924,
404,-69.241,0.7589,3.9807,18.6694,0.132,0.783422,
405,6.7895,0.7363,14.0159,0.0,0.1313,0.933035,
406,-35.7521,0.7496,9.7003,10.5475,0.1307,0.940541,
407,8.5075,0.7336,12.7729,0.0,0.13,0.818126,
408,7.6884,0.7199,13.4865,0.0,0.1294,0.889889,
